sec_id,event_date,event_type,headline,source_url,pre_drift_flag,suspicious_window_start,remarks,time_to_run
41966,2026-02-17,material_event,"REPUBLIC SERVICES, INC.  (RSG)  (CIK 0001060391)",https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001060391&accession_number=0001060391-26-000072&xbrl_type=v,1,2026-02-09,Abnormal SELLs detected. Suspicious large SELL executed by trader.,26.286
3559296,2026-02-23,material_event,"Diamondback Energy, Inc.  (FANG)  (CIK 0001539838)",https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001539838&accession_number=0001539838-26-000006&xbrl_type=v,1,2026-02-13,"Abnormal BUYs detected. Volume spiked T-1 z=5.5, T-2 z=0.4. Suspicious large BUY executed by trader.",26.286
489240,2026-02-23,material_event,AeroVironment Inc  (AVAV)  (CIK 0001368622),https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001368622&accession_number=0001104659-26-018593&xbrl_type=v,1,2026-02-13,Abnormal BUYs detected. Suspicious large BUY executed by trader.,26.286
33152,2026-02-27,material_event,AMEREN CORP  (AEE)  (CIK 0001002910),https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001002910&accession_number=0001104659-26-021486&xbrl_type=v,1,2026-02-13,Abnormal SELLs detected. Suspicious large SELL executed by trader.,26.286
